iso_code,continent,country,date,total_cases,total_deaths,population,death_rate_per_million,cases_per_million
HRV,Europe,Croatia,12/8/2021,639778,11383,4081657,2788.82,156744.68
HTI,North America,Haiti,12/8/2021,25691,754,11541683,65.33,2225.93
HUN,Europe,Hungary,12/8/2021,1168728,36048,9634162,3741.69,121310.81
IDN,Asia,Indonesia,12/8/2021,4258340,143909,276361788,520.73,15408.57
IMN,Europe,Isle of Man,12/8/2021,,,85410,0.00,0.00
IND,Asia,India,12/8/2021,34666241,474111,1393409033,340.25,24878.73
IRL,Europe,Ireland,12/8/2021,606852,5788,4982904,1161.57,121786.81
IRN,Asia,Iran,12/8/2021,6144644,130446,85028760,1534.14,72265.48
IRQ,Asia,Iraq,12/8/2021,2086192,23931,41179351,581.14,50661.12
ISL,Europe,Iceland,12/8/2021,18896,35,343360,101.93,55032.62
ISR,Asia,Israel,12/8/2021,1348229,8210,9291000,883.65,145111.29
ITA,Europe,Italy,12/8/2021,5152264,134472,60367471,2227.56,85348.35
JAM,North America,Jamaica,12/8/2021,91578,2415,2973462,812.18,30798.44
JOR,Asia,Jordan,12/8/2021,993339,11850,10269022,1153.96,96731.61
JPN,Asia,Japan,12/8/2021,1727504,18366,126050796,145.70,13704.82
KAZ,Asia,Kazakhstan,12/8/2021,1060923,17972,18994958,946.15,55852.87
KEN,Africa,Kenya,12/8/2021,255652,5337,54985702,97.06,4649.43
KGZ,Asia,Kyrgyzstan,12/8/2021,183744,2762,6628347,416.70,27720.94
KHM,Asia,Cambodia,12/8/2021,120300,2971,16946446,175.32,7098.83
KIR,Oceania,Kiribati,12/8/2021,2,,121388,0.00,16.48
KNA,North America,Saint Kitts and Nevis,12/8/2021,2791,28,53546,522.91,52123.41
KOR,Asia,South Korea,12/8/2021,496584,4077,51305184,79.47,9679.02
KWT,Asia,Kuwait,12/8/2021,413588,2466,4328553,569.71,95548.79
LAO,Asia,Laos,12/8/2021,83291,219,7379358,29.68,11287.03
LBN,Asia,Lebanon,12/8/2021,683326,8804,6769151,1300.61,100947.08
